Country,Sex,2016,2015,2010,2000
Afghanistan, Male,10.6,10.9,12.5,14.3
Albania, Male,7,6.7,9.5,8.2
Algeria, Male,4.9,5,5.1,6.7
Angola, Male,14,14.8,16.7,21.9
Antigua and Barbuda, Male,0,0,0.5,4.3
Argentina, Male,15,14.4,14.4,16.2
Armenia, Male,10.1,10.7,9.7,5.7
Australia, Male,17.4,18.3,16.8,19.2
Austria, Male,17.5,18.2,19.5,25.2
Azerbaijan, Male,4.3,4.4,5.1,4.1
Bahamas, Male,2.8,2.9,3.3,3.7
Bahrain, Male,7.9,7.9,7.1,10
Bangladesh, Male,5.5,5.5,4.9,6.2
Barbados, Male,0.8,0.7,2.6,3.7
Belarus, Male,39.3,39.2,58.1,70.4
Belgium, Male,22.2,21.6,24,27.3
Belize, Male,9.9,10.1,10.6,12.5
Benin, Male,22.6,22.5,22.1,22.2
Bhutan, Male,13.8,14.1,14.4,19.8
Bolivia, Male,16.9,17.1,19.4,23.2
Bosnia and Herzegovina, Male,10.6,11,10.5,16.2
Botswana, Male,18.3,19,21.8,25.9
Brazil, Male,9.7,9.7,9,8.9
Brunei Darussalam, Male,6.2,6.1,5.6,5.1
Bulgaria, Male,13.1,13.1,14,22.1
Burkina Faso, Male,22.4,22.5,22.6,24.9
Burundi, Male,23.1,22.7,22.4,18.5
Cape Verde, Male,24.1,23.8,24.3,24.1
Cambodia, Male,9,9,9.4,10.6
Cameroon, Male,26.9,27.2,25.9,28.4
Canada, Male,15.1,15.3,16.3,17.8
Central African Republic, Male,18,18.7,20.9,19.3
Chad, Male,17.1,17.1,16.4,15.3
Chile, Male,16,16.3,19.1,19.8
China, Male,7.9,7.9,9,12.7
Colombia, Male,11.5,13.3,12,13
Comoros, Male,17.6,17.6,17.5,13.6
Republic of Congo, Male,13.9,14.2,16.1,20.9
Costa Rica, Male,12.8,12.8,14.5,13.9
Côte d'Ivoire, Male,32,31.9,29.1,23.1
Croatia, Male,18.8,19.7,21.5,28.1
Cuba, Male,16.4,16.3,18.3,22.9
Cyprus, Male,7.2,6.4,7.7,2.7
Czech Republic, Male,17.2,17.7,21.1,23.8
North Korea, Male,14.8,15.2,16.3,14.6
Democratic Republic of the Congo, Male,15,14.8,14.7,16.7
Denmark, Male,13.2,11.9,13.2,19.1
Djibouti, Male,11.9,11.6,9.9,11.3
Dominican Republic, Male,17.9,17.5,14.9,18.1
Ecuador, Male,10.7,14.8,12.8,9.1
Egypt, Male,7.2,6.8,6.5,6.3
El Salvador, Male,24.8,25.3,20.2,24.4
Equatorial Guinea, Male,31.3,31.5,33,33.5
Eritrea, Male,22.4,22.8,23.8,28.3
Estonia, Male,25.6,23.9,26.6,43.8
Eswatini, Male,25.4,25.1,24.4,26.1
Ethiopia, Male,18.7,18.7,19.2,21
Fiji, Male,8.8,8.9,7.9,6.8
Finland, Male,20.8,19,25.3,32.8
France, Male,17.9,18.5,21.8,25.1
Gabon, Male,15,15.5,14.7,14.1
Gambia, Male,12.8,12.9,12.7,14.6
Georgia, Male,12.3,12.2,10.6,9.8
Germany, Male,13.6,13.9,15.3,18
Ghana, Male,15.8,15.6,14.1,11.6
Greece, Male,6.1,5.8,4.6,4.5
Grenada, Male,2.1,1.5,2.2,4.1
Guatemala, Male,4.4,5,5.4,6.5
Guinea, Male,12.7,12.9,13.7,12.3
Guinea-Bissau, Male,8.9,8.8,9.5,10.7
Guyana, Male,46.6,46.6,44.9,41.2
Haiti, Male,18.3,18.5,16.5,16.3
Honduras, Male,5.3,5.1,4.8,5.1
Hungary, Male,22.2,24.3,33.2,43.9
Iceland, Male,21.7,20.9,19,25.4
India, Male,18.5,18.8,19.1,21.3
Indonesia, Male,5.2,5.3,5.6,5.9
Iran, Male,4.9,4.9,7.9,12.5
Iraq, Male,4.7,4.9,4.7,5
Ireland, Male,17.6,17.6,17.6,19.3
Israel, Male,8.2,7.7,12.1,12.1
Italy, Male,8.4,8.2,8.3,9
Jamaica, Male,3.2,3.2,3.2,4.2
Japan, Male,20.5,21.6,27.6,28
Jordan, Male,4.7,4.7,4.7,5.8
Kazakhstan, Male,40.1,44.2,56.1,63.1
Kenya, Male,9.7,9.4,9.5,13.2
Kiribati, Male,25.9,26,25.8,25.6
Kuwait, Male,2.5,2.5,1.7,1.8
Kyrgyzstan, Male,14.8,14.5,20,26.5
Laos, Male,12.9,12.8,13.5,16.8
Latvia, Male,31,30.9,35.8,54.3
Lebanon, Male,4.2,4.2,3.9,4.5
Lesotho, Male,22.7,22.5,22.2,21.3
Liberia, Male,13.8,13.2,13.5,12.9
Libya, Male,8.7,7.1,9.1,9.1
Lithuania, Male,47.5,51.5,56.4,81.7
Luxembourg, Male,15,17.4,15.3,20.6
Madagascar, Male,10.5,10.6,11.4,12.1
Malawi, Male,13.7,13.3,14.2,20.3
Malaysia, Male,8.7,8.7,9,10.4
Maldives, Male,3.6,4,4.7,7.7
Mali, Male,13.5,13.5,13.2,13.5
Malta, Male,10.3,10.8,12.2,8.9
Mauritania, Male,12.1,11.9,11.1,9.9
Mauritius, Male,12.5,12.1,12.2,17.3
Mexico, Male,8.2,9,7.9,6.9
Federated States of Micronesia, Male,16.2,16.7,16.5,17
Mongolia, Male,23.3,23.4,28,31.5
Montenegro, Male,12.6,12.3,12.9,13.6
Morocco, Male,2.5,2.5,3,6.7
Mozambique, Male,14,14,15.5,22.9
Myanmar, Male,6.3,6.3,6.2,4.8
Namibia, Male,19.4,19.8,22.7,24.3
Nepal, Male,11.4,11.9,13.5,20.9
Netherlands, Male,12.9,12.9,11.6,11.4
New Zealand, Male,17.3,17.3,17.7,21.3
Nicaragua, Male,19.2,19.3,19.8,29.4
Niger, Male,11.5,11.6,11.7,10.7
Nigeria, Male,17.5,17.2,16.1,16
Norway, Male,13.6,13.3,14.7,18.1
Oman, Male,4.8,5,5.1,7.1
Pakistan, Male,3,3.1,3.2,3.6
Panama, Male,7.6,6.7,9.1,11.7
Papua New Guinea, Male,10.2,10.1,9.1,11.8
